,,,,,,,,,,,,,
Age,Gender,Income,Credit Score,Credit History Length,Number of Existing Loans,Loan Amount,Loan Tenure,Existing Customer,State,City,Employment Profile,Profile Score,Occupation
31,Male,36000,604,487,5,109373,221,No,Karnataka,Mysuru,Salaried,77,Doctor
25,Male,50000,447,386,2,150000,89,No,Karnataka,Bengaluru,Salaried,43,Software Engineer
62,Other,178000,850,503,10,69099,110,Yes,Uttar Pradesh,Kanpur,Salaried,90,Banker
69,Female,46000,668,349,6,150000,148,Yes,Karnataka,Bengaluru,Self-Employed,86,Contractor
52,Male,132000,601,553,5,150000,157,No,Karnataka,Mysuru,Salaried,90,Teacher
64,Female,127000,850,158,10,108702,111,Yes,Tamil Nadu,Coimbatore,Self-Employed,92,Contractor
29,Male,15000,378,89,1,26819,108,No,Uttar Pradesh,Lucknow,Self-Employed,25,Farmer
30,Other,82000,424,610,2,126550,92,No,West Bengal,Kolkata,Salaried,58,Banker
52,Male,119000,753,271,8,150000,251,Yes,Rajasthan,Jaipur,Freelancer,100,Writer
39,Male,101000,575,424,5,113257,12,No,Maharashtra,Nagpur,Salaried,87,Banker
69,Male,166000,384,381,1,103472,14,No,Tamil Nadu,Coimbatore,Self-Employed,13,Shopkeeper
64,Male,167000,850,439,10,150000,102,Yes,Gujarat,Surat,Freelancer,100,Writer
68,Female,88000,554,186,4,150000,92,No,Telangana,Hyderabad,Freelancer,95,Photographer
19,Female,25000,350,227,0,30156,30,No,Tamil Nadu,Chennai,Student,49,Student
59,Female,60000,562,179,4,121454,60,No,Kerala,Thiruvananthapuram,Salaried,82,Civil Servant
26,Female,53000,547,18,4,137722,47,No,Rajasthan,Udaipur,Salaried,78,Civil Servant
57,Male,36000,821,409,9,88563,228,Yes,Karnataka,Mysuru,Self-Employed,100,Contractor
42,Male,115000,502,302,3,107712,86,No,Rajasthan,Udaipur,Self-Employed,75,Contractor
34,Female,44000,300,441,0,95976,55,No,West Bengal,Kolkata,Salaried,15,Software Engineer
20,Female,57000,733,11,7,150000,285,Yes,West Bengal,Kolkata,Salaried,100,Teacher
69,Female,149000,505,522,3,113045,39,No,Delhi,New Delhi,Salaried,92,Teacher
56,Female,147000,839,275,9,120217,159,Yes,Maharashtra,Mumbai,Salaried,100,Civil Servant
37,Male,26000,631,287,6,116196,286,No,Rajasthan,Udaipur,Self-Employed,98,Farmer
68,Female,68000,354,83,0,40661,63,No,Uttar Pradesh,Kanpur,Salaried,74,Software Engineer
52,Female,130000,495,189,3,145578,76,No,Maharashtra,Nagpur,Salaried,88,Civil Servant
61,Female,41000,307,104,0,23296,99,No,Rajasthan,Udaipur,Unemployed,23,NA
39,Male,34000,590,605,5,150000,96,No,Kerala,Thiruvananthapuram,Salaried,100,Software Engineer
54,Male,116000,535,434,4,150000,47,No,Tamil Nadu,Chennai,Self-Employed,83,Contractor
52,Female,87000,697,26,7,141231,70,Yes,Delhi,New Delhi,Unemployed,58,NA
25,Female,37000,571,460,4,36315,93,No,Karnataka,Bengaluru,Self-Employed,79,Shopkeeper
24,Male,15000,463,24,2,10764,48,No,Uttar Pradesh,Lucknow,Self-Employed,49,Farmer
57,Female,130000,850,600,10,56891,195,Yes,Telangana,Hyderabad,Unemployed,96,NA
23,Female,32000,442,314,2,67958,83,No,Telangana,Hyderabad,Freelancer,43,Independent Consultant
53,Male,33000,428,576,2,99179,56,No,Delhi,New Delhi,Unemployed,62,NA
